MLSNumber|Category|Status|Price|SoldDate|SoldPrice|StNumber|StDir|StName|StType|Unit|City|Locale|ZipCode|Subdivision|County|Area|MLSSubAreaCode|Bdrm|Bath|Style|LandSize|GarType|GarSpaces|Elementary|MiddleSchool|HighSchool|OfficeName|OfficePhone|AgentName|AgentPhone|OfficeCode|DOM|AssessorCode|YearBuilt|NewConstruction|TotalSqFt|FinishedSQFTincBasement|FinishedSQFT|LowerSQFT|MainFloorSQFT|UpperSQFT|BasementSQFT|BasementFoundation|DesignFeatures|Fireplace|Heating|MasterBedroomBath|Type|Acres|LotSize|Zoning|AssocFee|EstAnnualTaxes|TaxYear|LargeText|TotalUnits|HalfBaths|ThreeQuarterBaths|FG_Description|Longitude|Latitude|FullBaths|LastUpdateDate|ListDate|BuyerOfficeMlsId|BuyerAgentFirstName|BuyerAgentLastName|FG_NewFinancing|FG_Ownership|AssocFeeFreq
1015068|1|Sold|385000|08/13/2024|400000|4325|W|6th|St||Greeley|Greeley|80634|Westmoor Acres|Weld|10|2|4|3|Four-Level||Attached|2|Shawsheen|Franklin|Northridge|Sears Real Estate|9703307700|Darla Francies|9703307700|1SEAR|20||1978|0|2487|2487|1887|729|702|456|702|Partial Basement,90%+ Finished Basement|Eat-in Kitchen,Separate Dining Room|Family/Recreation Room Fireplace|Forced Air|3/4 Primary Bath||0.19|8273|RL||1888|2023|Welcome to this 1978 spacious 4-level. This home offers versatile spaces for living, dining and entertaining. Large windows throughout ensure plenty of natural light, while the large lot boasts a spacious yard, perfect for gardening or outdoor activities. Located close to schools, shopping and parks, this home is ready for you to make your own. Schedule your private showing today!||1|1||-104.74949|40.42778|1|Aug 27 2024 04:15AM|07/25/2024|07631|Ryan P|Smith|Cash,Conventional|Private Owner,Licensed Owner|
1015137|1|Sold|415000|09/20/2024|425000|2722||19th|St Rd||Greeley|Greeley|80634|Rolling Hills|Weld|10|9|5|3|Four-Level||Attached|2|Meeker|Heath|Greeley Central|Sears Real Estate|9703307700|Steve Baker|9703020879|1SEAR|58||1973|0|2488|2388|1816|480|680|656|672|Full Basement,90%+ Finished Basement|Eat-in Kitchen,Separate Dining Room,Open Floor Plan,Walk-in Closet,Washer/Dryer Hookups|Gas Fireplace,Family/Recreation Room Fireplace|Forced Air|3/4 Primary Bath|Contemporary/Modern|0.2|8800|RL||1385|2023|You can tell when a home has been loved, and you'll love it too! Fantastic 4 level in Rolling Hills, just appraised at $450,000 featuring 5 bedrooms, 3 baths, updated kitchen, newer roof, vinyl windows, vinyl siding, gas fireplace in the family room, eat-in kitchen and separate dining room, lovely corner lot with fenced yard covered patio, 2 sheds, and an oversized garage on a cul-de-sac! No HOA, no metro district! See it today!||0|2||-104.724375|40.4207|1|Sep 25 2024 08:33AM|07/25/2024|EXPRE|Desarey|Fajardo|Cash,Conventional,FHA,VA|Private Owner|
1015196|1|Sold|450000|10/18/2024|450000|4315|W|16th|St Rd||Greeley|Greeley|80634|College Green 4th filing|Weld|10|10|4|2|Four-Level||Attached|2|Monfort|Heath|Greeley Central|eXp Realty - Loveland|8884402724|Michele Taylor|9705561108|07397|85||1985|0|2093|2000|1557|524|527|536|506|Partial Basement|Eat-in Kitchen,Separate Dining Room,Cathedral/Vaulted Ceilings,Open Floor Plan,Workshop|Family/Recreation Room Fireplace|Forced Air|Shared Primary Bath||0.25|10931|RES||1793|2023|PRICE IMPROVEMENT! Beautifully well kept move-in ready home with NO HOA! This property is located on a 1/4 Acre private lot with double gates for easy RV Parking. Inside you will find an ideal floor plan with multiple living spaces including a living room with vaulted ceilings as you enter the home and a lower level family room with wood burning fireplace. The Kitchen is updated with granite counter tops, soft close drawers, tile floors and stainless appliances. 3 bedrooms upstairs and an additional office, hobby room or non conforming bedroom in the basement with a storage room. Outside you will find a large lush peaceful landscaped backyard with fruit trees of peaches, plums & nectarines, along with gardens of tomatoes, zucchini and watermelon! There is also a fenced in dog run and a storage shed for all your gardening supplies. Close to Aims College, Golf Course, multiple parks and shopping.||0|1||-104.748559|40.410274|1|Oct 18 2024 12:00PM|07/26/2024|0RERE|Samuel|Schall|Cash,Conventional,FHA,VA|Private Owner|
1015304|1|Sold|410000|12/02/2024|410000|525||35th|Ave Ct||Greeley|Greeley|80634|Edwards Homes 3rd Add|Weld|10|2|5|2|1 Story/Ranch||Detached|2|Shawsheen|Franklin|Greeley West|Kreps Wiedeman|9703563943|Terry Wiedeman|9703563943|1KREP|108||1964|0|2780|2780|1780||1780||1000|Full Basement|Eat-in Kitchen,Separate Dining Room,Fire Alarm,Kitchen Island|Living Room Fireplace|Forced Air,Baseboard Heat|Shared Primary Bath||0.21|9000|Res||1308|2023|Don't miss out on this beautifully updated home nestled in the heart of Greeley.  This Ranch style home has 5 bedroom, 2 baths and a 2 car detached garage. Also has an additional storage shed with plenty of room for your yard equipment. Property comes with ALL appliances including the washer & dryer and has a new furnace and water heater!!!  NO HOA and is within walking distance of all the amenities that the Bittersweet Plaza and the 10th Street corridor have to offer.  Near the intersection of 10th St (Hwy 34) & 35th Ave, it's in between the Bittersweet, Westmoor and Franklin Parks!||0|2||-104.73644|40.42792|0|Dec 02 2024 03:06PM|07/27/2024|HRGFC|Lizza|Kiese-Martinez|Cash,Conventional,FHA,VA|Private Owner|
1015310|1|Expired|387000|||1604||28th|Ave||Greeley|Greeley|80634|Rolling Hills|Weld|10|9|4|3|Tri-Level||Attached|2|Scott|Heath|Greeley Central|JPAR Modern Real Estate|3034333158|Jamie Goodvin|9703244748|0MODR|22||1972|0|2340|2340|1719||1719||621|Full Basement,90%+ Finished Basement|||Forced Air|||0.23|10000|SFR||2037|2023|||1|1||-104.72447|40.41447|1|Aug 18 2024 12:06AM|07/26/2024||||Cash,Conventional,FHA,VA|Private Owner|
1015416|1|Sold|400000|10/18/2024|405000|4013|W|13th|St||Greeley|Greeley|80634|Bittersweet|Weld|10|10|3|3|Bi-Level||Attached|2|Scott|Franklin|Greeley Central|C3 Real Estate Solutions, LLC|9702255152|Erin Brady|9709788698|JCSRE|78||1979|0|1811|1793|1793|618|1|1192|0|No Basement|Separate Dining Room,Cathedral/Vaulted Ceilings|Family/Recreation Room Fireplace|Forced Air|Full Primary Bath||0.22|9781|RES||1773|2023|Welcome home! Charming 3 bedroom, 3 bathroom, 2 car garage home located in the desirable Bittersweet neighborhood. A garden level  lower level allows you to walk out to the huge backyard! Mature landscaping, and sprinklers in the front and back yard. Central A/C!  All appliances included! No HOA!||1|0||-104.74404|40.41813|2|Oct 18 2024 11:27AM|07/30/2024|KTLRE|Max|Sepulveda|Cash,Conventional,FHA,VA|Private Owner|
1015897|1|Sold|390000|09/18/2024|390000|1730||34th|Ave||Greeley|Greeley|80634|Woodbriar|Weld|10|9|2|2|Tri-Level||Attached|2|Scott|Heath|Greeley Central|Porchlight RE Group-Boulder|3037335335|Jessica Luginbill|3038081306|PREGB|42||1976|0|1662|1662|831|420|411|420|411|Partial Basement,Unfinished Basement,Sump Pump|Eat-in Kitchen,Washer/Dryer Hookups|Basement Fireplace,Single Fireplace|Forced Air|||0.18|7700|SFR||1063|2023|Located in the heart of Greeley, this adorable home includes two bedrooms, two baths, an attached two-car garage, and no HOA! Enjoy a tranquil setting while living conveniently close to restaurants, grocery stores, parks, hospitals and schools-both UNC and Aims Community College are less than five miles away. Once inside, you're sure to feel right at home. This beauty provides plenty of room to entertain and flows out to a sprawling, fully fenced backyard paired with the perfect deck for hosting barbecues or simply relaxing. Want to expand and create your dream space? The unfinished basement gives you the opportunity to truly put your stamp on this property. All kitchen and laundry appliances are included, along with a charming wood stove and a handy garage fridge. Don't miss out on making this amazing house your home sweet home!||0|1||-104.73361|40.41133|1|Sep 18 2025 04:15AM|08/06/2024|1SEAR|Brad|Inhulsen|Cash,Conventional,FHA,VA|Private Owner|
1015952|1|Expired|412000|||3001|W|12th|St||Greeley|Greeley|80634|Wilshire|Weld|10|9|3|2|1 Story/Ranch||Attached|1|Scott|Heath|Greeley Central|RE/MAX Alliance-Greeley|9703305000|Chad Nixon|9707760658|1RMFG|267||1960|0|2160|1580|1080||1080||1080|Full Basement|Separate Dining Room,Washer/Dryer Hookups,Wood Floors||Forced Air|Full Primary Bath||0.16|7081|RES||1567|2023|Welcome to 3001 12th St- the beautifully updated, all brick ranch gem of Greeley. Natural light and freshly refinished hardwood floors welcome you into the charming, yet modern, home. The main floor holds two bedrooms, a separate dining space and perfectly updated kitchen with granite countertops, gas range, and modernized cabinets; the main floor bath has top quality finishes to match. The basement offers a 3/4 bath, along with a non-conforming (framed and insulated) bedroom and an unfinished space, both ready for your personal touch. The backyard is ideal for entertaining or relaxing. To top it off: a 1 car garage, an extended driveway available for RV/boat parking and no HOA or metro district. Welcome home!||0|1||-104.72851|40.42034|1|Apr 30 2026 04:15AM|08/07/2024||||Cash,Conventional,FHA,VA|Private Owner|
1015980|1|Sold|378000|09/12/2024|391000|3126|W|5th|St||Greeley|Greeley|80634|BROADVIEW ACRES 8TH ADD|Weld|10|3|4|2|1 Story/Ranch||Attached|1|Madison|Franklin|Greeley West|C3 Real Estate Solutions, LLC|9702255152|Pres Montoya|9703811973|JCSRE|37||1969|0|1890|1721|945||945||945|Full Basement,75%+Finished Basement|Eat-in Kitchen,Pantry,Bay or Bow Window,Washer/Dryer Hookups||Forced Air||Legal, Conforming|0.15|6561|RES||1533|2023|Amazing home at an amazing value! After 50 years, this meticulously maintained 4 bedroom,  2 bath home is ready for new owners to make their nest. All the worrisome maintenance has already been done: new HVAC system in 2019 (the AC blows cold!), new water heater in 2024 (ready for the long hot showers), new sewer line from the house to the street in 2022, new roof in 2015, new carpet up and down in 2024, basement lvp in 2018, kitchen updated with beautiful, solid-wood cabinets, soft close drawers, granite countertops and lvp floors in 2016 and freshly painted throughout in 2024. All kitchen and laundry appliances are included. There's so much value built in to this clean and cozy home, all that's left to do is deciding how to arrange the furniture! This home would be great for those seeking a main floor living setup- seller had plumbing for washer and dryer hookups installed in second upstairs bedroom closet, allowing for convenient main floor laundry access. Original hookups in basement are still in place if new owners would like to move laundry to basement and use upstairs room for a bedroom or office space. The upstairs bathroom has a low curb shower to ensure easy accessibility. 2 large windows in living room provide glorious natural light and adds to the peaceful homey vibe. Downstairs there are 2 nicely-finished non-conforming bedrooms with closets, a 3/4 bath and a generous family room area to expand the living space. The vintage piano can stay if buyers would like! Outside, there's an attached storage area that was built in 2012 to handle all the extras. A concrete patio, fully fenced yard with mature landscaping, and working sprinkler system round out this lovely property. Nestled in a quiet, established neighborhood with easy access to Business 34, shopping and restaurants. This move-in ready house, is prepared for you to stop by, sit a while and envision yourself at home.||0|2||-104.73193|40.42777|0|Sep 13 2024 10:51AM|08/07/2024|L1ST|June|Lemmings|Cash,Conventional,FHA,VA|Private Owner|
1016238|2|Expired|260000|||1925||28th|Ave||Greeley|Greeley|80634|Cottonwood Creek|Weld|10|9|2|2|2 Story||Attached|1|Meeker|Heath|Greeley Central|NextHome Foundations|9703535006|Bonnie Sherman|9703018239|1RSRE|418||1973|0|2136|1424|1424||712|712|712|Full Basement,25%+Finished Basement|Separate Dining Room,Open Floor Plan|Living Room Fireplace|Forced Air|Shared Primary Bath||||RL|525|1217|2023|Price reduced $26,000 below appraised price. Lovely 2 bedroom 2 bathroom home with a new deck off the primary bedroom that was installed December 2024. Upstairs also features an extra loft/study area and also has an unfinished basement with the potential to finish for a 3rd bedroom. Home is centrally located to parks, shopping and schools. Call with any questions||1|0|Condo,Loft|-104.72761|40.40876|1|Oct 01 2025 12:06AM|08/09/2024||||Cash,Conventional|Private Owner|Monthly
1016682|1|Sold|425000|10/21/2024|425000|4103|W|9th|St||Greeley|Greeley|80634|Westmoor Acres 1st FLG|Weld|10|2|5|3|1 Story/Ranch||Attached|2|Shawsheen|Franklin|Northridge|Sears Real Estate|9703307700|Cathy Cowles|9703026623|1SEAR|67||1977|0|2330|2132|1165||1165||1165|Full Basement,90%+ Finished Basement|Separate Dining Room,Stain/Natural Trim|Family/Recreation Room Fireplace,Masonry Fireplace,Single Fireplace|Forced Air|3/4 Primary Bath||0.26|11444|RL||1686|2023|Don't miss this well-maintained beauty on over a quarter-acre manicured lot!  Step into this space that is perfectly arranged for entertaining, complete with brand new flooring on the main floor.  The easy flow from the large living room into the separate dining area and large kitchen will provide space for all of your guests.  The 42" semi-custom oak cabinets provide ample storage, and the breakfast bar is perfect for setting up a laptop.  Don't miss the garage with its own AC, attached workbench, and even a built-in air compressor for your next project! Five bedrooms provide a private space for everyone, and a cozy basement den with wood-burning fireplace will quickly become the favorite space for binge-watching  The fifth bedroom off the laundry area could be a location for a home office.||0|2||-104.74647|40.42388|1|Oct 22 2024 04:54PM|08/15/2024|TONYC|Karen|Edwards|Cash,Conventional,FHA,VA|Private Owner|
1017138|1|Sold|589000|10/17/2024|578000|1525||45th|Ave||Greeley|Greeley|80634|College Green|Weld|10|10|3|3|Four-Level||Attached|2|Monfort|Heath|Greeley Central|RE/MAX Alliance-Greeley|9703305000|Al Detmer|9703816764|1RMFG|56|095911304004|1978|0|2681|1965|1965|483|783|699|716|Partial Basement,Unfinished Basement|Eat-in Kitchen,Separate Dining Room,Walk-in Closet,Washer/Dryer Hookups,Kitchen Island|Gas Fireplace|Forced Air|3/4 Primary Bath||0.22|9420|RL||1983|2024|Welcome to this tastefully renovated 3 bedroom 3 bath, 2 car attached garage, home situated on a large tree shaded lot.  The kitchen would make any chief envious with its 48 inch gas stove and double oven, quartz countertops and expansive ten foot kitchen island that boasts additional storage and seating. The floor plan lends itself to entertaining as the kitchen is open to the family room and formal dining which allows access to the maintenance free deck overlooking the full fenced backyard with raised garden beds and a greenhouse. The lower level family room boasts a fireplace and guest bath along with laundry room. Full unfinished basement for future expansive.  Located just minutes from shopping and schools and quick access to Centerplace, HWY 34, hospital and Centerra and I25.||1|1||-104.75223|40.4117|1|Oct 17 2024 03:30PM|08/23/2024|EXPRE|Desi|Moss|Cash,Conventional,FHA,VA|Private Owner|
1017265|1|Sold|439900|10/28/2024|445500|1205||24th|Ave Ct||Greeley|Greeley|80634|Westview|Weld|10|9|5|3|1 Story/Ranch||Attached|2|Scott|Franklin|Greeley Central|Sears Real Estate|9703307700|Bonnie Martin|9705760502|1SEAR|64||1964|0|2760|2760|1380||1380||1380|Full Basement,90%+ Finished Basement|Separate Dining Room,Pantry,Walk-in Closet,Washer/Dryer Hookups,Wood Floors||Forced Air|Full Primary Bath||0.38|16413|RES||1983|2023|*** This AMAZING home is back on the market at no fault of its own*** Nestled in a charming and mature neighborhood, this all-brick ranch home offers a blend of comfort, space, and convenience. Boasting five spacious bedrooms and three bathrooms, this home is a buyer's delight. Updated kitchen features quartz countertops, tiled floors, a gas range, white cabinets, stainless steel appliances, a tiled backsplash, and a pantry. The finished basement adds extra living space, which includes a family room, 2 bedrooms and a bath. Situated on a double lot, the property provides ample outdoor space, including a double gate for easy RV access. Whether you're hosting gatherings or enjoying quiet moments in the yard, you'll appreciate the privacy and room to roam. The location is unbeatable-close to schools, shopping, dining, and other amenities. This home is a rare find in a well-established neighborhood, offering the perfect mix of modern convenience and classic charm. Don't miss the opportunity to make this beautiful property your forever home!||0|1||-104.71921|40.41964|2|Oct 30 2024 10:12AM|08/19/2024|0RECM|Claudia|Loera|Cash,Conventional,FHA,VA|Private Owner|
1017494|1|Expired|449900|||627||35th|Ave Ct||Greeley|Greeley|80634|Edwards Homes|Weld|10|2|5|3|1 Story/Ranch||Detached|3|Shawsheen|Franklin|Northridge|NextHome Foundations|9703535006|LaRue Hauf|9703960345|1RSRE|93|1888886|1963|0|2604|2604|1372||1372||1232|Full Basement,90%+ Finished Basement|Separate Dining Room||Forced Air|3/4 Primary Bath||0.18|8000|Res Medium||2034|2024|Well-maintained brick ranch style home on corner lot.  Main level features large living area, great eat-in kitchen, 3 bedrooms and 2 baths. Large living room, dining room and kitchen w/abundance of cabinets.  Main floor laundry.  Basement has a full kitchen, living room, 2 bedrooms and bath. Use as rental or for personal use. Furnace new 2020 & roof new 2018. Central air & whole house fan. One car garage plus detached oversize 2 car w/overhead doors, front and back. Fenced yard, Storage shed, sprinkler system, central air.  Vinyl windows. Buyer to verify schools and measurements.||0|1||-104.736457|40.426578|2|Nov 30 2024 12:06AM|08/27/2024||||Cash,Conventional,FHA,VA|Private Owner|
1017516|1|Expired|410000|||1834||24th|Ave||Greeley|Greeley|80634|Rolling Hills|Weld|10|9|4|2|1 Story/Ranch||Attached|1|Meeker|Heath|Greeley Central|C3 Real Estate Solutions, LLC|9702255152|Erin Brady|9709788698|JCSRE|1||1966|0|2054|2000|1027||1027||1027|Full Basement|Eat-in Kitchen,Separate Dining Room,Open Floor Plan,Washer/Dryer Hookups,Wood Floors|Re-circulating Fireplace|Forced Air|Shared Primary Bath||0.15|6389|RES||1778|2023|Welcome to Rolling Hills Subdivision! This beautiful ranch style home has 4 bedrooms, 2 baths, and a 1 car garage. The kitchen has plenty of counterspace, including bar seating, and stainless-steel appliances. Central A/C. Living room fireplace. The basement bedrooms are conforming with closets and egress windows! Large fenced in back yard, mature trees, and a covered patio in the back, great for entertaining. No HOA! No Metro!||0|1||-104.71741|40.40989|1|Aug 29 2025 04:15AM|08/29/2024||||Cash,Conventional,FHA,VA|Private Owner|
1017639|1|Sold|410000|11/01/2024|400000|1834||24th|Ave||Greeley|Greeley|80634|Rolling Hills|Weld|10|9|4|2|1 Story/Ranch||Attached|1|Meeker|Heath|Greeley Central|C3 Real Estate Solutions, LLC|9702255152|Erin Brady|9709788698|JCSRE|64||1966|0|2054|2000|1027||1027||1027|Full Basement|Eat-in Kitchen,Separate Dining Room,Open Floor Plan,Washer/Dryer Hookups,Wood Floors|Re-circulating Fireplace|Forced Air|Shared Primary Bath||0.15|6389|RES||1778|2023|Welcome to Rolling Hills Subdivision! This beautiful ranch style home has 4 bedrooms, 2 baths, and a 1 car garage. The kitchen has plenty of counterspace, including bar seating, and stainless-steel appliances. Central A/C. Living room fireplace. The basement bedrooms are conforming with closets and egress windows! Large fenced in back yard, mature trees, and a covered patio in the back, great for entertaining. No HOA! No Metro!||0|1||-104.71741|40.40989|1|Nov 01 2025 04:15AM|08/30/2024|ROGF1|JoAnne|Fernandez|Cash,Conventional,FHA,VA|Private Owner|
1017776|1|Sold|425000|10/23/2024|415000|1731||33rd|Ave||Greeley|Greeley|80634|Woodbriar 2nd Fg 1st Rplt|Weld|10|9|4|2|Bi-Level||Attached|2|Other|Other|Other|Realty One Group Fourpoints CO|9705735880|Jacob Busekrus|7196485843|ROGFC|49||1973|0|2016|2016|1128||1128||888|90%+ Finished Basement,Crawl Space||Single Fireplace|Forced Air|3/4 Primary Bath||0.2|8653|SFR||1940|2023|Welcome to this beautifully updated home on the end of a quiet cul-de-sac.  Large tree in the front that helps keep the house cool.  4 bed and 2 bath with a master suite in the basement.  Fully remodeled kitchen with stainless appliance's.  2 remodeled bathrooms.  Tankless water heater.  Brand new back door glass.  New roof in 2018.  New siding in 2020.  Lage backyard with a fire pit, horse shoe pit and deck for entertainment.   Half zero scaped lawn for easy maintenance.  Large 16'x8' shed with electrical in the backyard.  No HOA. And a very rare, mineral rights included.||0|1||-104.73325|40.41106|1|Nov 03 2024 07:06PM|09/02/2024|COOP|Non-IRES|Agent|Cash,Conventional,FHA,VA|Private Owner|
1017927|1|Expired|399900|||518||37th|Ave||Greeley|Greeley|80634|Edwards Homes|Weld|10|2|5|3|1 Story/Ranch||Attached|2|Shawsheen|Franklin|Northridge|RE/MAX Alliance-Greeley|9703305000|Chad Nixon|9707760658|1RMFG|274||1971|0|2160|1824|1080||1080||1080|Full Basement,90%+ Finished Basement|Separate Dining Room,Washer/Dryer Hookups|Gas Fireplace,Family/Recreation Room Fireplace|Forced Air|3/4 Primary Bath||0.16|7150|R-E||1634|2023|Introducing the best investment opportunity in Greeley: a rental to add to your portfolio or the perfect home to make your own. This 5 bed, 3 bath ranch style home offers a finished basement, attached 2 car garage and a fully fenced backyard waiting for your personal touches. The convenient yet quiet location gives you easy access to shops, restaurants and schools. Whether you're an investor looking for a rental with tenants already in place, a first time buyer on the hunt for an affordable start to homeownership, or anywhere in between, your search ends at 518 37th Avenue.||0|2||-104.73886|40.4283|1|Jun 05 2026 04:15AM|09/05/2024||||Cash,Conventional,FHA,VA|Private Owner|
1017956|1|Sold|399900|09/27/2024|399900|2324|W|8th|St||Greeley|Greeley|80634|Houston Heights|Weld|10|3|4|2|1 Story/Ranch||Detached|4|Madison|Franklin|Northridge|Blue Steel Real Estate, Inc.|9704515606|Justin Gesso|7202447906|BSRE1|23||1949|0|1744|1744|872||872||872|Full Basement||Living Room Fireplace|Forced Air|||0.14|6000|RM||1540|2023|Incredible all-brick house that has been fully updated. Separate upstairs and downstairs units. Downstairs is under lease, which can be used to help qualify for your mortgage if you live upstairs. Traditional owner-occupant loans are fully available, including low-down payment options. At 1,744 finished sqft, this is one of the larger floorplans in the area. Huge 864 sqft overiszed garage can fit multiple cars while also having built-in storage and workshop areas. Many major updates over the last 2 years, including new heater, new central AC, new windows, new carpet, new LPV (bathrooms and kitchens), refinished hardwood, interior paint, and exterior paint. All applicances and washer/dryer stay. Stoves are electric but gas is available. Grass has been seeded and new trees planted. Sprinkler system exists but it needs a new control panel. Estimated rent potential of approximately $31,200/year. This is an exceptionally rare opportunity! Don't miss it. Need a lender that can use the rental income to help with great loan and low-down payment options? Contact Seller's Preferred Lender.||0|0||-104.71717|40.42473|2|Sep 27 2024 11:54AM|09/05/2024|L1ST|June|Lemmings|Cash,Conventional,FHA,VA|Private Owner|
1018421|1|Sold|440000|10/17/2024|440000|4541|W|Pioneer|Ln|11|Greeley|Greeley|80634|College Green|Weld|10|10|3|2|1 Story/Ranch||Attached|2|Monfort|Heath|Greeley Central|Kittle Real Estate|9704604444|Rob Kittle|9704604444|KTLRE|36|095911302086|1978|0|1840|1840|1840||1840||0|No Basement|Open Floor Plan,Walk-in Closet,Washer/Dryer Hookups,Wood Floors,Kitchen Island,Sunroom|Gas Fireplace,Dining Room Fireplace|Forced Air|3/4 Primary Bath|Patio Home,Contemporary/Modern|0.05|2112|PUD|280|1568|2023|Welcome to your charming single-level home located in the College Green community, conveniently situated just minutes away from the Greeley Country Club. A rare find where comfort and convenience is wrapped in style, this beautifully maintained residence is perfect for anyone looking for a peaceful yet connected lifestyle. As you step inside, you are greeted by an inviting open-concept living area designed with built-in cabinets that provide both practical storage solutions and display space for your prized collectibles. Whip up your favorite meals in the kitchen, complete with granite countertops, white appliances, tiled backsplash, and a central island, for added preparation space and casual dining. The adjacent family area features a cozy gas fireplace, providing a lovely ambiance for gatherings. A unique pass-through window connects these spaces, enhancing the open feel while maintaining a sense of separation. This home offers three bedrooms, each featuring plush carpeting for a cozy feel. The spacious primary suite is a true retreat, complete with an ensuite bathroom and a walk-in closet. The additional bedrooms are well-sized and can accommodate family, guests, or be transformed into a home office. An added bonus to this lovely home is the sunroom, where abundant natural light creates an ideal setting for reading, relaxing, or enjoying the view of the outdoors, while being protected from the elements. The small patio is the perfect size for enjoying the fresh Colorado air, offering just enough room for outdoor enjoyment without the upkeep.  Located within walking distance of the community clubhouse and pool, you'll enjoy easy access to recreational amenities that enhance your lifestyle. Plus, with downtown Greeley just a short drive away, you'll have access to a variety of shopping, dining, and entertainment options.||0|1||-104.75518|40.41177|1|Oct 17 2025 04:15AM|09/11/2024|ETHO|Philip|Cooper|Cash,Conventional,FHA,VA|Private Owner|Monthly
1018522|1|Sold|389900|10/29/2024|399900|1902||24th|Ave Ct||Greeley|Greeley|80634|Rolling Hills|Weld|10|9|4|2|1 Story/Ranch||Attached|2|Meeker|Heath|Greeley Central|Resident Realty|9702828585|Wendy Roberts|9705764685|0RERE|48||1966|0|2268|2142|1242||1242||1026|90%+ Finished Basement|Eat-in Kitchen,Separate Dining Room,Washer/Dryer Hookups,Wood Floors||Forced Air,Pellet Stove|Shared Primary Bath||0.16|6900|RES||$1945|2023|Come Check Out this this ROLLING HILLS RANCH, with a cute eat-in kitchen and cozy dining room space. The Living Room and three main floor bedrooms all have hardwood floors.  Basement has an additional bedroom with a large, family room with options galore.  Seller currently uses that space for a primary bedroom.  Attached two car tandem garage and wonderful east facing patio and private, fenced backyard.  Newer Roof, and NO HOA!||0|1||-104.719018|40.409083|1|Oct 29 2024 02:33PM|09/12/2024|EXPCO|Bridget|Osborne|Cash,Conventional,FHA,VA|Private Owner|
1018688|1|Sold|430000|11/15/2024|430000|1532||45th|Ave||Greeley|Greeley|80634|College Green|Weld|10|10|4|3|Tri-Level||Attached|2|Monfort|Heath|Greeley Central|Four Peaks Real Estate|9705183110|Callie Hood|9705183110|FPRE1|62||1985|0|2178|2178|2178|680|818|680|0|Daylight Basement|Eat-in Kitchen,Separate Dining Room,Cathedral/Vaulted Ceilings,Pantry,Wet Bar,Washer/Dryer Hookups|2+ Fireplaces,Gas Fireplace|Forced Air|Shared Primary Bath,5 Piece Primary Bath|Contemporary/Modern|0.19|8400|SFR||1849|2023|This 4 bed, 3 bath home in the heart of Greeley is waiting for you to make it your own! Walk in to vaulted ceilings on the main floor with a bright, spacious living room and gas fireplace. The kitchen features beautiful wood floors and a cozy dining area that leads to the backyard. Upstairs you'll find 3 bedrooms and a 5-piece master bathroom. On the lower level is the 4th bedroom and another living area with a second gas fireplace and wet bar. Enjoy the Colorado weather on the private front deck or the peaceful back patio.||1|1||-104.7516|40.41145|1|Nov 15 2024 04:42PM|09/15/2024|1RMFG|Chad|Nixon|Cash,Conventional,FHA,VA|Private Owner|
1018841|2|Expired|399999|||1771||35th|Ave Pl||Greeley|Greeley|80634|Rangeview Commons|Weld|10|10|3|3|2 Story||Attached|2|Scott|Franklin|Greeley West|RE/MAX Alliance-Greeley|9703305000|Chad Nixon|9707760658|1RMFG|98||2018|0|2782|1621|1621||1621||1161|Full Basement,Unfinished Basement|Eat-in Kitchen,Open Floor Plan,Pantry,Walk-in Closet||Forced Air|3/4 Primary Bath|Contemporary/Modern|0.05|1980|R-E|225|1783|2023|Welcome to 1771 35th Avenue Place, where elegance meets convenience in this charming townhome. Designed for minimal maintenance, this home offers the perfect blend of comfort and practicality. Step inside to a main floor that boasts a spacious primary bedroom, complete with a luxurious step-in shower and an expansive walk-in closet. Enjoy the ease of main floor laundry and delight in the large kitchen, featuring ample storage and plenty of room for all your culinary adventures.Upstairs, discover two additional bedrooms. The unfinished basement provides a fantastic opportunity for future expansion, allowing you to transform this home into a 4-bedroom, 4-bathroom haven. The backyard is ready to be fenced in, offering a private retreat for relaxation or entertaining.Located in a vibrant community, this townhome is close to shopping centers, well-established neighborhoods, parks, and trails, making it ideal for those who love convenience and outdoor activities. To top it all off, the low-cost HOA takes care of trash service, snow removal, lawn maintenance, and exterior water ensuring you have more time to enjoy the finer things in life.||1|1|Townhome,Other Description,1/2 Duplex|-104.735919|40.411496|1|Dec 24 2025 04:15AM|09/18/2024||||Cash,Conventional,FHA,VA|Private Owner|Monthly
