MLSNumber|Category|Status|Price|SoldDate|SoldPrice|StNumber|StDir|StName|StType|Unit|City|Locale|ZipCode|Subdivision|County|Area|MLSSubAreaCode|Bdrm|Bath|Style|LandSize|GarType|GarSpaces|Elementary|MiddleSchool|HighSchool|OfficeName|OfficePhone|AgentName|AgentPhone|OfficeCode|DOM|AssessorCode|YearBuilt|NewConstruction|TotalSqFt|FinishedSQFTincBasement|FinishedSQFT|LowerSQFT|MainFloorSQFT|UpperSQFT|BasementSQFT|BasementFoundation|DesignFeatures|Fireplace|Heating|MasterBedroomBath|Type|Acres|LotSize|Zoning|AssocFee|EstAnnualTaxes|TaxYear|LargeText|TotalUnits|HalfBaths|ThreeQuarterBaths|FG_Description|Longitude|Latitude|FullBaths|LastUpdateDate|ListDate|BuyerOfficeMlsId|BuyerAgentFirstName|BuyerAgentLastName|FG_NewFinancing|FG_Ownership|AssocFeeFreq
1049888|1|Expired|440000|||2145||Buena Vista|Dr||Greeley|Greeley|80634|Cascade Park 1st Add|Weld|10|14|4|2|1 Story/Ranch||Attached|2|Meeker|Heath|Greeley West|Sears Real Estate|9703307700|Bonnie Martin|9705760502|1SEAR|182|R2354586|1967|0|2552|2552|1276||1276||1276|Full Basement,90%+ Finished Basement|Eat-in Kitchen,Open Floor Plan,Washer/Dryer Hookups||Forced Air|||0.23|10000|RES||1423|2024|Welcome home to this inviting brick ranch located in the desirable Cascade Park South neighborhood. This well-maintained and handicap accessible home features 4 bedrooms and 2 bathrooms with a full finished basement, offering flexible and functional living space. The recently remodeled kitchen showcases modern finishes and flows seamlessly into the main living areas, while laminate wood flooring adds warmth and durability throughout. A large living room with expansive windows fills the home with natural light, creating a bright and welcoming atmosphere. Outside, enjoy a beautifully manicured yard perfect for relaxing or entertaining. Conveniently located near scenic parks, local restaurants, shopping, Centennial public pool and everyday amenities, this home offers both comfort and convenience in a sought-after location.||0|0||-104.72153|40.403625|2|Jul 21 2026 12:06AM|01/20/2026||||Cash,Conventional,FHA,VA|Private Owner|
1050247|1|Sold|349900|03/02/2026|344900|1851||23rd|Ave Ct||Greeley|Greeley|80634|Rolling Hills|Weld|10|9|4|2|Bi-Level||Detached|2|Meeker|Brentwood|Greeley Central|Realty One Group Fourpoints|9705735880|Marilyn Plante|9703029113|ROGF1|38|R2325486|1965|0|1756|1756|996||996||760|90%+ Finished Basement|Eat-in Kitchen,Open Floor Plan|Gas Fireplace|Forced Air|||0.16|6975|R1||1743|2024|When you enter this home you will see how open the upper floor is. The island has a granite countertop and the stainless steel appliances are fairly new and are included in the price. A home warranty is offered and a paint allowance is also included in the purchase price .Please call for your personal showing today!PLEASE DO NOT LOCK THE DOOR HANDLE. ONLY LOCK THE DEADBOLT!!!||0|0||-104.717309|40.409247|2|Mar 02 2026 12:48PM|01/24/2026|0YCRE|Heidi|Becker|Cash,Conventional|Private Owner|
1050496|1|Sold|425000|03/16/2026|430000|1639||43rd|Ave||Greeley|Greeley|80634|College Green 4th Fg|Weld|10|10|4|3|2 Story||Attached|2|Monfort|Heath|Greeley Central|eXp - Greeley|9703010266|Brian Franzen|9703010266|07712|40|R2090786|1985|0|2186|2186|1570||946|624|616|Partial Basement,75%+Finished Basement,Crawl Space|Eat-in Kitchen,Separate Dining Room|Gas Fireplace|Forced Air|Shared Primary Bath|Legal, Conforming,Contemporary/Modern|0.24|10350|RL||2038|2024|If you've been waiting for a home that feels easy from day one, this might be the one. Tucked into a quiet central Greeley neighborhood, this clean, well-cared-for two-story offers the kind of space and layout that simply works - room to spread out, places to gather, and a yard you'll actually use. From the welcoming main level to the fenced backyard and deck, this is a home that's ready for everyday life, not a to-do list.Inside, the layout feels comfortable and intuitive. The living room centers around a gas brick fireplace - perfect for cozy nights in - while the large eat-in kitchen becomes the natural hub for mornings, meals, and everything in between. A separate dining room gives you flexibility for hosting, holidays, or just having a space that adapts as life changes.Upstairs, the bedrooms are thoughtfully arranged, offering privacy and room to grow. Whether you need space for sleeping, working from home, or a quiet retreat at the end of the day, this home gives you options without feeling overwhelming.Outside is where this home really shines for everyday living. The fully fenced yard offers peace of mind and room to play, while the deck is ready for summer evenings, weekend grilling, and relaxed get-togethers. With just under a quarter-acre, you get space to breathe without signing up for constant yard work.Location matters, and this one checks the right boxes. Walk to Bittersweet Park, enjoy quick access to Westlake Shopping Center, and appreciate being close to everyday essentials like Monfort Elementary. Quiet, friendly, and centrally located - this is the kind of neighborhood where it's easy to feel at home.||1|1||-104.748717|40.409181|1|Mar 26 2026 12:12PM|01/29/2026|KWR80|Stephanie|Vigil|Cash,Conventional,FHA,VA|Private Owner|
1050512|1|Expired|450000|||2042||44th|Ave||Greeley|Greeley|80634|Virginia Hills|Weld|10|13|3|3|Bi-Level||Attached|2|Monfort|Brentwood|Greeley West|Group Harmony|9702290700|Andrea Tuell|9702903758|9GRPH|174|R2494986|1978|0|2367|1529|866||866|665|836|Full Basement|Eat-in Kitchen,Pantry,Walk-in Closet,Washer/Dryer Hookups,Wood Floors|Living Room Fireplace|Forced Air|Full Primary Bath|Contemporary/Modern|0.18|7943|RES||1845|2024|Well-maintained home offering 3 bedrooms plus a study and 3 bathrooms, situated on a large, private lot with a backyard thoughtfully angled to provide added separation from neighboring homes. The main-level primary bedroom features its own full bath for added convenience. The spacious living room offers large windows and a wood-burning fireplace, creating a warm, inviting atmosphere. The updated kitchen includes a new sink and opens to the dining area with access to a low-maintenance Trex deck, ideal for indoor-outdoor living. The lower level provides two generously sized bedrooms, including a large basement bedroom with a walk-in closet and private half bath, along with a study, laundry room, and additional bathroom. An oversized two-car garage adds excellent storage and functionality. Paid-off solar panels, a new 50-gallon water heater, and a new furnace offer energy efficiency and peace of mind. A thoughtful layout, great natural light, and excellent indoor and outdoor living spaces make this home easy to enjoy.||1|0||-104.749858|40.405018|2|Jul 22 2026 12:06AM|01/29/2026||||Cash,Conventional,FHA,VA|Private Owner|
1050720|1|Sold|310000|03/04/2026|310000|1958||28th|Ave||Greeley|Greeley|80634|Rolling Hills 3rd Add|Weld|10|9|4|3|Tri-Level||Attached|2|Meeker|Heath|Greeley Central|Realty One Group Fourpoints|9705735880|Amy Collins|9705451205|ROGF1|5|R2240586|1973|0|2370|2370|1749||752||621|Full Basement|||Forced Air|||0.2|8878|RESID||1517|2024|ATTENTION INVESTORS- Opportunity knocks in a sought-after neighborhood close to parks, shopping, and schools. This home is ready for a new owner with vision and a makeover-perfect for buyers who want to renovate and make it their own or investors looking for strong rental potential. With a solid footprint and great location, the possibilities are wide open as a primary or a long-term investment. Bring your contractor, your creativity, and your plans-this is the kind of property where improvements can truly pay off. Sold as-is.||1|0||-104.72371|40.408951|2|Mar 10 2026 09:18AM|02/02/2026|07333|Celina|Rodriguez|Cash,Conventional|Private Owner|
1050778|1|Sold|412500|04/02/2026|425000|1809||24th|Ave Pl||Greeley|Greeley|80634|Rolling Hills|Weld|10|9|4|2|Bi-Level||Attached|2|Meeker|Heath|Greeley Central|Group Harmony|9702290700|Andrea Tuell|9702903758|9GRPH|59|R2312486|1967|0|2310|2310|714||714||1416|Full Basement,90%+ Finished Basement,Slab|Separate Dining Room,Open Floor Plan,Pantry,Washer/Dryer Hookups|Living Room Fireplace|Forced Air|Shared Primary Bath,Full Primary Bath|Contemporary/Modern|0.17|7475|RES||2027|2024|Welcome home to this well-maintained 4-bed, 2-bath property in Rolling Hills! It is in great condition and incredibly maintained. This home features new windows, fresh paint, and beautifully updated bathrooms. Enjoy a large living room, a functional kitchen with a pantry, and plenty of space for everyone. Step outside to a great back deck overlooking a spacious yard, complete with a storage shed. The backyard is wonderful for entertaining or relaxing. The 2-car garage adds extra convenience. Move-in ready with room to grow. Don't miss this opportunity.||0|1||-104.719353|40.411487|1|Apr 02 2026 01:18PM|02/03/2026|HTHOM|Annette|Hayes|Cash,Conventional,FHA,VA|Private Owner|
1051044|2|Expired|270000|||2713||19th|St Dr|5A|Greeley|Greeley|80634|Scott Carpenter Condo|Weld|10|9|2|2|2 Story||Carport|1|Meeker|Heath|Greeley Central|C3 Real Estate Solutions, LLC|9702255152|Erin Brady|9709788698|JCSRE|96|R2282786|1974|0|1827|1402|1095||743|352|732|Full Basement,25%+Finished Basement||Living Room Fireplace|Forced Air|||||RES|400|608|2024|MOTIVATED SELLER!! Bring us an offer! Two story townhome style condo-centrally located in Greeley! Gated front porch. Serious charm. Beautiful wood burning fireplace. Main level primary bedroom and bathroom. Partially finished basement. Washer/dryer hook ups both upstairs and downstairs. Vaulted ceilings. Plenty of natural sunlight. Upstairs loft style bedroom with a full bathroom and balcony. Assigned, covered carport plus an additional assigned parking space. Close to parks, schools, restaurants and shopping!||0|1|Condo|-104.726672|40.407756|1|May 14 2026 12:06AM|02/06/2026||||Conventional|Private Owner|Monthly
1051104|1|Sold|459900|03/03/2026|450000|2301||33rd|Ave||Greeley|Greeley|80634|West Lake Park 2nd Fg|Weld|10|14|4|3|1 Story/Ranch||Attached|2|Meeker|Brentwood|Greeley West|Pro Realty Inc|9703531117|Chuck Rehmer|9705394313|1PROR|6|R2390086|1976|0|2234|2234|1117||1117||1117|Full Basement,90%+ Finished Basement,Radon Unknown|Eat-in Kitchen,Separate Dining Room,Open Floor Plan,Wet Bar,Fire Alarm,Washer/Dryer Hookups,Crown Molding|Electric Fireplace,Family/Recreation Room Fireplace,Basement Fireplace|Forced Air|3/4 Primary Bath|Contemporary/Modern|0.17|7506|R-L||2019|2024|Custom Builder does a number on his own long-term rental property. Must See OVER $140K in Renovation and improvements!!!! Complete rebuild down to bare drywall and sub-floors. All NEW Plumbing, Electrical components, drywall and ceiling finishes, laminate and carpet, finished and painted garage. New custom cabinets, sinks, toilets, showers, tubs, etc. etc. New doors, base, and case trim packages. New furnace and recent A/C and HW heater,.This corner lot faces East with a view of Levy and Westlake parks, and has a 15 x 30 rear patio cover facing South for year round shade as a perfect entertainment venue. Compare this home to new construction for a better value. Builder notebook documents extent of investment improvements and upgrades. Sellers property disclosure also details the depths of work pursued. Seller is a licensed real estate broker in state of Colorado. Buyer to verify measurements and schools. Seller is Builder and is offering a limited warranty on new work.||0|1||-104.73336|40.401428|2|Mar 04 2026 12:09PM|01/26/2026|8RM1L|Angie|Clauser|Cash,Conventional,FHA,VA|Private Owner,Licensed Owner,Builder|
1051172|1|Sold|450000|04/20/2026|445000|1424||40th|Ave||Greeley|Greeley|80634|Bittersweet|Weld|10|10|4|2|1 Story/Ranch||Attached|2|Scott|Franklin|Greeley West|Real Estate Connections, Inc|9703883969|Laura Mendoza|9703883969|1RCON|72||1979|0|2472|2472|1236||1236||1236|90%+ Finished Basement|Eat-in Kitchen,Separate Dining Room,Pantry|Living Room Fireplace|Forced Air|||0.15|6508|R1||2107|2025|Located in the desirable Bittersweet Subdivision, this beautifully updated home offers convenient access to a community swimming pool and tennis courts close by. The completely remodeled main floor features all-new flooring, modern lighting fixtures, and brand-new stainless steel appliances, creating a fresh, move-in ready feel. The spacious primary bedroom includes a large walk-in closet, while the main-floor laundry adds everyday convenience. This home perfectly combines modern updates with an unbeatable neighborhood lifestyle. Don't miss this chance to make it your home sweet home.||0|0||-104.742555|40.415987|2|Apr 22 2026 10:36AM|02/08/2026|07712|Brian|Franzen|Cash,Conventional,FHA,VA|Private Owner|
1051584|1|Sold|305000|06/12/2026|280000|1940||29th|Ave||Greeley|Greeley|80634|Cottonwood Creek Condo|Weld|10|9|3|3|1 Story/Ranch||Attached|2|Meeker|Brentwood|Greeley Central|C3 Real Estate Solutions, LLC|9702255152|Lissa Johnson|9705816551|JCSRE|75|R2279086|1976|0|2718|2650|1389||1359||1359|90%+ Finished Basement|Separate Dining Room,Walk-in Closet,Washer/Dryer Hookups,Wood Floors|2+ Fireplaces,Gas Fireplace|Forced Air|3/4 Primary Bath|Condo(Detached Only)|0.01|436|PUD|545|1771|2025|Motivated Seller. Ask about the potential of a +/- 5.89% interest rate for a unwarrantable portfolio loan. "As Is" flip available for an investor or owner occupy. This 3 bed/3 bath stand alone condo with a fenced yard, patio, and back deck off the primary bedroom is located in Cottonwood Creek Subdivision. It is a main floor ranch with 95% finished basement and a two car garage. Cottonwood Creek offers many amenities including a pool and tennis courts. This condo backs up to a wooded natural area with a creek. Located on a quiet cul-de-sac. HOA includes water, sewer, waste/storm water, pool, tennis court, liability insurance covering all the exterior, clubhouse, etc....||0|2||-104.729901|40.407285|1|Jun 12 2026 03:09PM|02/12/2026|CAMTX|Janelle|McGill|Cash,Conventional,FHA,VA,1031 Exchange,Assumable Financing|Private Owner|Monthly
